numero_funcionario,departamento,cargo,nivel_do_cargo,viagem_a_trabalho,horas_extras,num_empregos_anteriores,total_anos_experiencia,anos_na_empresa,anos_no_cargo_atual,anos_desde_ultima_promocao,anos_com_mesmo_gerente,desligado,avaliacao_de_desempenho,aumento_percentual_salario,treinamentos_ultimo_ano
55,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,1,1,0,0,1,1,3,12,2
56,Vendas,Executivo de Vendas,3,Viaja frequentemente,0,1,9,9,8,1,7,0,3,15,0
57,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja frequentemente,0,1,12,12,8,3,7,0,4,23,2
58,Pesquisa e Desenvolvimento,Diretor de Pesquisa,5,Viaja raramente,0,1,23,22,15,15,8,1,3,12,0
60,Vendas,Executivo de Vendas,2,Não viaja,0,0,10,9,5,8,7,0,4,20,2
61,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,4,8,1,0,0,0,0,4,21,1
62,Vendas,Executivo de Vendas,2,Viaja frequentemente,1,4,14,9,6,0,8,0,4,21,4
63,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,1,1,0,0,1,0,3,19,2
64,Pesquisa e Desenvolvimento,Técnico de Laboratório,3,Viaja raramente,1,9,23,1,0,0,0,1,3,13,2
65,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,1,2,2,2,2,2,1,3,13,3
68,Vendas,Executivo de Vendas,2,Viaja raramente,1,5,9,4,3,1,3,0,4,21,2
70,Pesquisa e Desenvolvimento,Representante de Saúde,3,Não viaja,1,2,10,4,0,2,3,0,3,13,3
72,Vendas,Executivo de Vendas,2,Viaja raramente,1,7,5,2,2,0,0,0,3,19,2
73,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Viaja frequentemente,1,1,15,15,14,8,12,0,3,12,1
74,Vendas,Executivo de Vendas,3,Viaja frequentemente,0,1,9,9,8,1,8,0,4,22,3
75,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,3,4,2,2,2,2,0,3,15,3
76,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,0,3,10,7,7,1,7,0,4,22,3
77,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,1,7,7,5,0,7,0,3,18,2
78,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,1,1,9,9,8,7,8,0,4,22,3
79,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja frequentemente,0,1,10,10,3,9,9,0,3,11,2
80,Pesquisa e Desenvolvimento,Diretor de Pesquisa,5,Viaja raramente,1,5,29,27,3,13,8,0,3,12,2
81,Vendas,Executivo de Vendas,3,Viaja raramente,0,7,28,21,16,7,9,0,3,11,3
83,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja raramente,0,1,17,17,14,12,8,0,3,13,2
84,Pesquisa e Desenvolvimento,Gerente,4,Viaja raramente,1,2,21,5,0,0,2,0,3,14,2
85,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja frequentemente,0,1,6,6,5,0,3,0,3,13,3
86,Pesquisa e Desenvolvimento,Cientista de Pesquisa,3,Viaja raramente,0,2,25,1,0,0,0,0,3,17,2
88,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja frequentemente,0,4,5,3,2,1,2,0,3,13,2
90,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,0,2,1,0,0,0,1,3,17,0
91,Vendas,Executivo de Vendas,2,Viaja frequentemente,0,7,20,4,3,1,3,0,3,11,2
94,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,0,6,5,4,0,4,0,4,23,3
95,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,1,1,1,1,0,0,3,17,4
96,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,0,1,10,10,4,0,9,0,3,17,3
97,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,3,5,1,0,0,0,0,3,12,3
98,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,1,11,11,7,1,8,0,4,23,2
100,Vendas,Executivo de Vendas,2,Viaja raramente,0,0,16,15,13,2,8,0,3,14,2
101,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Viaja raramente,1,4,17,0,0,0,0,0,3,14,3
102,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Viaja raramente,0,4,16,5,2,0,2,0,3,13,3
103,Recursos Humanos,Recursos Humanos,2,Viaja raramente,1,8,16,4,2,0,2,0,4,22,2
104,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,1,1,10,10,8,3,0,0,3,12,1
105,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,6,6,4,0,4,0,3,18,3
106,Vendas,Executivo de Vendas,3,Viaja raramente,0,3,24,1,0,1,0,0,3,14,4
107,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Não viaja,1,7,17,13,11,1,9,0,3,12,3
110,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,1,5,5,2,1,3,0,3,15,2
112,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja raramente,0,4,37,6,4,0,2,0,3,11,3
113,Vendas,Representante de Vendas,1,Viaja raramente,0,3,3,0,0,0,0,0,3,13,3
116,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,3,10,4,2,0,3,0,4,23,4
117,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,0,1,11,11,10,10,8,0,3,19,3
118,Vendas,Executivo de Vendas,3,Viaja raramente,0,1,9,9,8,4,7,1,3,16,3
119,Pesquisa e Desenvolvimento,Representante de Saúde,4,Viaja frequentemente,0,1,22,22,3,11,11,0,4,22,3
120,Vendas,Executivo de Vendas,2,Viaja raramente,1,0,11,10,7,1,0,0,4,22,2
121,Vendas,Executivo de Vendas,2,Viaja raramente,1,1,11,11,8,2,7,0,3,12,4
124,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja frequentemente,1,2,21,10,9,9,5,0,3,13,5
125,Vendas,Executivo de Vendas,2,Viaja raramente,0,1,12,11,8,5,7,0,3,16,0
126,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Viaja raramente,0,9,16,4,3,0,3,0,3,12,5
128,Vendas,Executivo de Vendas,2,Viaja raramente,0,0,4,3,2,0,2,0,4,21,2
129,Vendas,Executivo de Vendas,2,Não viaja,0,1,5,5,4,0,4,0,3,15,3
131,Vendas,Executivo de Vendas,4,Viaja raramente,0,0,38,37,10,1,8,0,3,13,1
132,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Não viaja,0,4,17,3,2,1,2,0,3,12,3
133,Recursos Humanos,Recursos Humanos,1,Viaja raramente,1,4,7,3,2,0,2,1,4,22,3
134,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,1,1,0,0,0,0,3,13,2
137,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,1,1,1,1,0,1,0,1,3,18,5
138,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,0,1,16,16,13,2,10,0,3,14,3
139,Pesquisa e Desenvolvimento,Representante de Saúde,2,Não viaja,0,5,17,1,0,0,0,0,3,14,2
140,Recursos Humanos,Gerente,5,Não viaja,0,9,30,3,2,2,2,0,4,21,3
141,Pesquisa e Desenvolvimento,Diretor de Pesquisa,5,Viaja frequentemente,1,3,28,8,3,0,7,0,3,19,1
142,Vendas,Executivo de Vendas,2,Viaja raramente,1,1,6,6,4,0,3,1,3,11,1
143,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,2,2,2,2,1,0,3,11,2
144,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,1,0,0,0,0,0,3,15,5
145,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja frequentemente,0,3,23,13,12,12,8,0,4,20,1
147,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja frequentemente,1,1,9,9,7,0,6,1,4,24,3
148,Recursos Humanos,Gerente,4,Não viaja,1,2,23,5,3,4,4,0,3,12,3
150,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,0,6,5,3,1,2,0,3,12,2
151,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,0,6,12,1,0,0,0,0,3,15,3
152,Vendas,Executivo de Vendas,3,Viaja raramente,0,2,12,5,3,1,3,0,3,12,3
153,Pesquisa e Desenvolvimento,Gerente,3,Viaja raramente,0,2,14,11,10,5,8,0,3,12,6
154,Vendas,Executivo de Vendas,3,Viaja frequentemente,0,0,10,9,7,2,8,0,3,14,6
155,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,5,7,1,0,0,0,0,4,22,2
158,Vendas,Gerente,4,Viaja frequentemente,1,1,25,25,12,4,12,0,3,12,3
159,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja frequentemente,0,1,10,10,7,0,9,0,4,25,2
160,Vendas,Executivo de Vendas,2,Não viaja,0,0,8,7,7,0,7,0,3,13,2
161,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,9,7,5,4,4,3,1,3,18,2
162,Pesquisa e Desenvolvimento,Diretor de Pesquisa,5,Viaja raramente,0,7,23,20,18,15,15,0,3,13,5
163,Vendas,Executivo de Vendas,2,Viaja raramente,1,4,12,7,7,7,7,1,3,18,3
164,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,5,5,4,4,3,0,3,19,3
165,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja raramente,0,1,40,40,10,15,6,1,3,12,3
167,Vendas,Representante de Vendas,1,Viaja raramente,1,1,0,0,0,0,0,1,3,19,2
169,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,0,3,2,1,2,1,0,3,14,2
170,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,1,16,15,11,5,11,0,3,14,2
171,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja frequentemente,0,4,18,3,2,1,2,0,3,12,2
174,Vendas,Executivo de Vendas,3,Viaja frequentemente,0,4,16,2,2,2,1,0,3,11,3
175,Vendas,Executivo de Vendas,2,Viaja raramente,1,3,4,2,2,2,2,1,3,11,2
176,Vendas,Executivo de Vendas,3,Viaja raramente,1,3,12,9,7,0,7,0,3,13,2
177,Recursos Humanos,Recursos Humanos,1,Viaja raramente,0,1,8,8,7,5,7,0,4,23,3
178,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,6,7,3,2,0,1,0,4,20,0
179,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja frequentemente,0,2,18,4,2,0,3,1,3,15,2
182,Vendas,Executivo de Vendas,2,Viaja raramente,0,4,17,15,11,5,9,0,3,14,1
183,Vendas,Executivo de Vendas,2,Viaja raramente,0,2,6,2,2,2,2,0,3,18,3
184,Recursos Humanos,Recursos Humanos,2,Viaja raramente,1,0,12,11,9,4,7,0,3,19,2
190,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,7,10,5,4,0,4,1,4,22,2
192,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,5,9,6,5,0,3,0,3,13,2
193,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja raramente,1,3,19,3,2,2,2,0,4,20,2
194,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,5,5,4,0,4,0,3,14,4
195,Vendas,Executivo de Vendas,2,Viaja frequentemente,0,0,9,8,7,0,7,0,3,17,2
197,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,5,8,3,2,2,2,0,3,14,3
198,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,0,6,5,3,1,2,0,3,13,3
199,Pesquisa e Desenvolvimento,Gerente,4,Viaja frequentemente,0,4,21,7,6,7,7,0,3,13,2
200,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,2,7,5,0,1,4,0,4,21,2
201,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,1,1,0,0,0,0,3,14,3
202,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja frequentemente,0,1,20,20,7,2,13,0,3,11,2
204,Vendas,Executivo de Vendas,3,Viaja raramente,0,1,10,10,8,0,6,0,3,13,3
205,Vendas,Representante de Vendas,2,Viaja raramente,1,2,13,7,7,4,5,0,4,20,3
206,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,0,8,20,17,9,0,15,0,3,18,2
207,Vendas,Executivo de Vendas,3,Viaja frequentemente,0,1,9,9,8,3,7,0,3,14,2
208,Pesquisa e Desenvolvimento,Diretor de Produção,2,Não viaja,0,1,10,10,7,0,9,0,3,13,1
211,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,2,10,1,0,0,0,0,3,17,2
214,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,4,9,1,0,0,0,0,4,20,3
215,Vendas,Executivo de Vendas,3,Viaja raramente,0,7,15,12,11,2,11,0,3,11,2
216,Vendas,Representante de Vendas,1,Viaja frequentemente,0,6,6,4,3,1,2,0,3,18,3
217,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,2,2,2,2,2,0,4,24,6
218,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Não viaja,0,6,6,2,2,2,2,0,3,18,1
221,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,5,5,2,0,2,0,3,11,2
223,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja raramente,1,3,12,5,3,1,4,0,3,16,2
224,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Não viaja,1,1,1,1,1,0,1,0,3,15,2
226,Pesquisa e Desenvolvimento,Gerente,5,Viaja raramente,0,3,21,5,4,4,4,0,3,15,5
227,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,4,13,9,8,1,8,0,3,12,2
228,Vendas,Executivo de Vendas,3,Viaja raramente,0,2,12,10,9,7,4,0,3,12,2
230,Vendas,Executivo de Vendas,2,Viaja raramente,0,4,12,8,3,0,7,0,4,22,2
231,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,3,8,5,4,1,4,0,4,20,2
233,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,0,6,5,2,1,1,0,3,16,3
235,Vendas,Representante de Vendas,1,Viaja frequentemente,0,0,1,0,0,0,0,1,4,21,5
238,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,0,4,13,8,7,7,2,0,3,12,3
239,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Não viaja,0,1,12,12,9,6,10,0,3,11,4
240,Vendas,Executivo de Vendas,2,Viaja raramente,1,4,9,5,4,0,3,0,3,11,3
241,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,4,19,2,2,2,2,0,3,18,3
242,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,0,4,3,1,0,2,0,3,14,2
243,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,1,1,0,1,0,1,4,22,3
244,Vendas,Executivo de Vendas,3,Viaja raramente,0,1,24,24,13,15,7,0,4,25,2
245,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,2,2,2,2,1,0,3,12,3
246,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,8,7,4,2,0,2,0,4,23,0
247,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,2,9,3,2,1,2,0,3,15,3
248,Vendas,Representante de Vendas,1,Viaja raramente,1,1,4,4,3,0,2,1,4,22,5
249,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,2,5,3,2,0,2,0,3,15,2
250,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,1,5,4,2,1,3,0,3,11,3
252,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,8,8,7,1,6,0,3,13,5
253,Pesquisa e Desenvolvimento,Gerente,5,Viaja raramente,0,1,21,20,8,9,9,0,3,14,2
254,Pesquisa e Desenvolvimento,Diretor de Pesquisa,5,Viaja raramente,0,8,36,24,15,2,15,0,3,11,3
256,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja frequentemente,0,1,10,10,9,1,9,0,3,17,2
258,Pesquisa e Desenvolvimento,Representante de Saúde,4,Viaja raramente,0,3,21,7,7,1,0,0,3,18,6
259,Pesquisa e Desenvolvimento,Gerente,5,Viaja raramente,0,0,34,33,18,11,9,0,3,14,5
260,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,7,7,7,0,3,0,3,16,2
261,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,1,3,8,1,0,0,1,1,3,13,1
262,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Não viaja,0,4,7,5,4,2,2,0,3,14,3
264,Pesquisa e Desenvolvimento,Gerente,4,Não viaja,0,9,22,20,8,11,8,0,4,23,1
267,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,1,8,8,7,1,7,0,3,12,3
269,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja frequentemente,0,5,10,6,2,1,2,0,3,11,5
270,Pesquisa e Desenvolvimento,Diretor de Produção,2,Não viaja,0,2,11,5,3,0,2,0,3,16,5
271,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,9,14,1,0,0,0,0,3,14,3
273,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja raramente,0,3,9,7,7,1,7,0,3,18,3
274,Pesquisa e Desenvolvimento,Diretor de Produção,2,Viaja frequentemente,0,5,6,2,2,2,0,0,3,19,1
275,Pesquisa e Desenvolvimento,Diretor de Produção,2,Não viaja,1,1,7,7,7,1,7,0,3,15,0
277,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja frequentemente,1,1,5,5,3,2,0,0,3,17,4
281,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,1,8,15,7,2,3,7,0,3,15,2
282,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,1,7,17,1,0,0,0,1,3,19,2
283,Vendas,Executivo de Vendas,3,Viaja raramente,0,1,10,10,4,1,9,1,4,22,3
284,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,1,4,4,2,2,2,0,3,16,2
286,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,0,1,8,8,1,1,7,0,3,13,2
287,Pesquisa e Desenvolvimento,Representante de Saúde,2,Não viaja,0,9,5,3,2,0,2,0,3,14,5
288,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja raramente,0,7,17,4,2,0,3,0,3,16,3
291,Vendas,Executivo de Vendas,3,Viaja raramente,0,1,14,14,8,9,8,1,3,11,2
292,Pesquisa e Desenvolvimento,Diretor de Produção,3,Não viaja,0,1,12,11,8,5,8,0,4,22,2
293,Vendas,Executivo de Vendas,2,Viaja frequentemente,0,1,7,7,7,0,7,0,3,14,2
296,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Viaja raramente,0,5,16,10,9,4,7,0,3,16,5
297,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,5,8,5,2,0,4,1,3,11,5
298,Vendas,Gerente,3,Viaja raramente,1,3,16,1,0,0,0,0,3,18,3
299,Vendas,Executivo de Vendas,2,Viaja frequentemente,0,5,9,6,3,0,1,1,3,15,5
300,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,0,7,6,2,1,5,1,3,14,1
302,Vendas,Executivo de Vendas,3,Não viaja,0,6,23,19,7,12,8,0,3,12,2
303,Vendas,Executivo de Vendas,2,Viaja raramente,0,2,16,6,2,0,5,0,3,14,4
304,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,0,8,16,13,11,3,7,0,3,16,3
305,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,6,7,3,2,1,1,0,4,21,3
306,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Viaja frequentemente,1,1,10,10,8,0,7,0,3,14,1
307,Vendas,Executivo de Vendas,3,Viaja raramente,0,0,17,16,10,5,13,0,3,12,6
308,Pesquisa e Desenvolvimento,Diretor de Produção,2,Não viaja,0,0,6,5,4,1,4,0,3,12,2
309,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,3,7,1,0,0,0,0,3,17,6
311,Vendas,Representante de Vendas,1,Viaja frequentemente,0,4,13,9,8,5,8,0,3,17,2
312,Vendas,Executivo de Vendas,3,Viaja frequentemente,0,1,11,11,10,4,1,0,3,14,5
314,Vendas,Executivo de Vendas,3,Viaja frequentemente,0,1,10,10,7,0,8,0,3,14,3
315,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,1,4,4,3,0,1,1,3,13,3
316,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,7,6,2,2,2,2,0,3,15,3
319,Pesquisa e Desenvolvimento,Gerente,5,Viaja raramente,0,1,22,22,17,11,15,0,3,11,3
321,Recursos Humanos,Recursos Humanos,1,Viaja raramente,0,8,7,2,2,2,2,0,3,17,2
323,Vendas,Gerente,5,Viaja raramente,0,3,32,7,0,0,6,0,3,11,3
325,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,5,8,5,4,0,4,1,3,13,2
327,Vendas,Gerente,4,Viaja raramente,1,5,22,17,13,1,9,0,4,22,3
328,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,7,13,9,7,1,7,1,4,20,3
329,Vendas,Gerente,5,Não viaja,1,1,33,33,7,15,12,0,3,18,2
330,Vendas,Representante de Vendas,1,Viaja raramente,0,2,6,4,3,1,2,0,3,11,5
